"ensembl_id","mean_counts_SOD1_A4V_.","mean_counts_SOD1_._.","hgnc_symbol"
"ENSG00000112486",4.231011824,11.97045965,"CCR6"
"ENSG00000112511",420.9493544,503.2354006,"PHF1"
"ENSG00000112514",713.3582774,1471.508979,"CUTA"
"ENSG00000112530",219.6965055,287.3066075,"PACRG"
"ENSG00000112531",4060.414568,2120.01005,"QKI"
"ENSG00000112539",296.2386781,80.40912058,"C6orf118"
"ENSG00000112541",404.2472223,396.599715,"PDE10A"
"ENSG00000112559",65.57522819,33.48913043,"MDFI"
"ENSG00000112562",770.4563188,1121.053257,"SMOC2"
"ENSG00000112576",162.7245921,244.8363076,"CCND3"
"ENSG00000112578",136.8648906,263.9569893,"BYSL"
"ENSG00000112584",486.8388285,495.9328564,"FAM120B"
"ENSG00000112592",163.2679366,172.855574,"TBP"
"ENSG00000112624",213.4903472,122.8538444,"BICRAL"
"ENSG00000112640",543.704841,906.681387,"PPP2R5D"
"ENSG00000112651",97.06873989,221.3053819,"MRPL2"
"ENSG00000112655",973.1279257,655.5395293,"PTK7"
"ENSG00000112658",543.7338446,437.6947475,"SRF"
"ENSG00000112659",390.778017,221.8956766,"CUL9"
"ENSG00000112667",112.2757429,195.1108793,"DNPH1"
"ENSG00000112679",423.9813896,600.3504588,"DUSP22"
"ENSG00000112685",385.8171358,546.3044998,"EXOC2"
"ENSG00000112695",582.652448,1689.651166,"COX7A2"
"ENSG00000112697",2763.575526,2121.850503,"TMEM30A"
"ENSG00000112699",130.1153878,280.6194201,"GMDS"
"ENSG00000112701",1078.092728,746.6655576,"SENP6"
"ENSG00000112715",104.217636,42.5149204,"VEGFA"
"ENSG00000112739",1096.309946,723.1591971,"PRPF4B"
"ENSG00000112742",47.64777591,15.82303398,"TTK"
"ENSG00000112759",408.9300444,284.3012568,"SLC29A1"
"ENSG00000112763",448.6112476,473.4998017,"BTN2A1"
"ENSG00000112769",20.63433146,11.25986893,"LAMA4"
"ENSG00000112773",139.0827056,28.86312261,"FAM46A"
"ENSG00000112782",53.63388234,18.05237022,"CLIC5"
"ENSG00000112787",679.9484231,456.9587027,"FBRSL1"
"ENSG00000112796",21.15958248,15.36400048,"ENPP5"
"ENSG00000112812",12.48655375,5.337820346,"PRSS16"
"ENSG00000112851",709.0963986,367.7451679,"ERBIN"
"ENSG00000112852",858.4252261,770.2388693,"PCDHB2"
"ENSG00000112855",331.9161046,327.8512533,"HARS2"
"ENSG00000112874",171.2182793,210.3436249,"NUDT12"
"ENSG00000112877",41.27770964,34.66695899,"CEP72"
"ENSG00000112893",375.1101569,379.0550469,"MAN2A1"
"ENSG00000112902",85.26229846,41.38361638,"SEMA5A"
"ENSG00000112941",279.3055841,153.4835628,"PAPD7"
"ENSG00000112964",46.02944913,21.21793637,"GHR"
"ENSG00000112972",2148.059769,2439.353561,"HMGCS1"
"ENSG00000112977",412.2853724,384.5619683,"DAP"
"ENSG00000112981",226.9060687,376.0230224,"NME5"
"ENSG00000112983",738.3521383,614.3127094,"BRD8"
"ENSG00000112984",53.97074511,17.95378813,"KIF20A"
"ENSG00000112992",921.6368247,770.9764511,"NNT"
"ENSG00000112996",300.1038236,273.3762269,"MRPS30"
"ENSG00000113013",1623.94567,1785.075295,"HSPA9"
"ENSG00000113048",333.6286255,448.4458848,"MRPS27"
"ENSG00000113068",460.6196474,735.4276543,"PFDN1"
"ENSG00000113070",115.972457,288.2817211,"HBEGF"
"ENSG00000113083",105.7417686,32.46252277,"LOX"
"ENSG00000113100",36.31496507,6.387914884,"CDH9"
"ENSG00000113108",483.3775998,578.1373825,"APBB3"
"ENSG00000113119",67.3438929,68.69635632,"TMCO6"
"ENSG00000113140",13840.62757,10937.21604,"SPARC"
"ENSG00000113141",1337.185991,1286.463565,"IK"
"ENSG00000113161",1728.224244,2490.353938,"HMGCR"
"ENSG00000113163",407.2103402,281.7060266,"COL4A3BP"
"ENSG00000113194",769.0351567,824.6492384,"FAF2"
"ENSG00000113205",41.11380162,12.50869054,"PCDHB3"
"ENSG00000113209",36.51692343,5.266922969,"PCDHB5"
"ENSG00000113211",10.23973508,7.27931518,"PCDHB6"
"ENSG00000113212",23.55673908,12.1735343,"PCDHB7"
"ENSG00000113231",299.0778018,213.5999941,"PDE8B"
"ENSG00000113240",315.6902631,147.5872586,"CLK4"
"ENSG00000113248",52.24917747,48.81767337,"PCDHB15"
"ENSG00000113263",417.0110385,1294.290471,"ITK"
"ENSG00000113269",481.9412745,472.0506538,"RNF130"
"ENSG00000113272",71.00255663,82.50031503,"THG1L"
"ENSG00000113273",360.9291757,402.6425753,"ARSB"
"ENSG00000113282",540.8050502,382.9285928,"CLINT1"
"ENSG00000113296",54.1391765,45.48610706,"THBS4"
